query_id,client_email,client_mobile,query_heading,query_description,status,date_raised,date_closed
Q0001,joshuaoneill@example.net,6638686049,Bug Report,Tab focus jumps incorrectly.,Closed,2/26/2025,2/27/2025
Q0002,edward91@example.net,6369365581,Bug Report,Form validation not working properly.,Closed,7/22/2025,8/1/2025
Q0003,cookmason@example.org,2686615523,Account Suspension,Need help lifting restrictions.,Closed,6/18/2025,6/19/2025
Q0004,wtaylor@example.com,4753393384,Data Export,Need monthly data dump in CSV.,Closed,2/25/2025,3/7/2025
Q0005,rmoore@example.net,8523755943,UI Feedback,Icons not intuitive.,Closed,6/19/2025,6/20/2025
Q0006,carrollamanda@example.net,5114031913,Technical Support,Graphs not rendering properly.,Closed,5/12/2025,5/26/2025
Q0007,chavezlouis@example.com,5120344433,Account Suspension,How do I appeal a suspension?,Closed,4/5/2025,4/12/2025
Q0008,monica93@example.net,9214400119,Billing Problem,Promo code was not applied.,Closed,6/10/2025,6/12/2025
Q0009,stephaniejackson@example.net,3033595411,Payment Failure,EMI option not available anymore.,Closed,7/23/2025,7/24/2025
Q0010,gregory24@example.com,4191042037,Feature Request,Suggesting calendar integration.,Closed,6/18/2025,6/20/2025
Q0011,virginia01@example.org,9734118945,Subscription Cancellation,Cancel option not visible in settings.,Closed,6/15/2025,6/16/2025
Q0012,eneal@example.org,3879415680,Data Export,Exported PDF looks blank.,Closed,5/19/2025,5/21/2025
Q0013,colecynthia@example.net,5617939417,Data Export,Need export in regional time zone.,Closed,3/16/2025,3/29/2025
Q0014,areid@example.com,3070184682,Technical Support,Getting JSON decode error.,Closed,5/28/2025,6/4/2025
Q0015,davidstephens@example.com,3917521611,Billing Problem,Refund not credited after 7 days.,Closed,4/11/2025,4/22/2025
Q0016,qfuller@example.com,4905937145,Login Issue,Cannot log in on mobile app.,Closed,7/15/2025,7/17/2025
Q0017,tchapman@example.com,9995378276,Payment Failure,Need help with failed subscription payment.,Closed,5/29/2025,6/1/2025
Q0018,fnielsen@example.org,2206017563,Subscription Cancellation,Want refund for unused days.,Closed,5/27/2025,5/29/2025
Q0019,andersontristan@example.com,4538801808,Technical Support,Cannot upload files to cloud.,Closed,2/19/2025,2/20/2025
Q0020,zsteele@example.com,5610385254,Payment Failure,Payment shows success but app locked.,Closed,4/19/2025,4/20/2025
Q0021,kenneth93@example.org,3203920567,Feature Request,Need voice assistant for dashboard.,Closed,5/24/2025,6/6/2025
Q0022,adam25@example.net,1759888188,Technical Support,Live chat not launching.,Closed,5/29/2025,5/30/2025
